Titel,År,Regi,Land,Genre,Längd,Skådespelare,Producent,Musik,Specialeffekter,Recension,Sökväg,Mitt Betyg,Disk 1,DIsk 2
Blade,1998,Stephen Norrington,USA,Action/Skräck,120 min,"Wesley Snipes, Stephen Dorff",Peter Frankfurt,Mark Isham,-,[Recension](https://www.google.com/search?q=Blade+1998+movie+review),America,,,
Blade II,2002,Guillermo del Toro,USA,Action/Skräck,117 min,"Wesley Snipes, Kris Kristofferson",Peter Frankfurt,Marco Beltrami,-,[Recension](https://www.google.com/search?q=Blade+II+2002+review),America,,,
Blow Out,1981,Brian De Palma,USA,Thriller/Krim,108 min,"John Travolta, Nancy Allen",George Wharton,Pino Donaggio,-,[Recension](https://www.google.com/search?q=Blow+Out+1981+review),America,,,
Body Double,1984,Brian De Palma,USA,Thriller/Mysterium,114 min,"Craig Wasson, Melanie Griffith",Brian De Palma,Pino Donaggio,-,[Recension](https://www.google.com/search?q=Body+Double+1984+review),America,,,
Bone Tomahawk,2015,S. Craig Zahler,USA,Western/Skräck,132 min,"Kurt Russell, Patrick Wilson",Jack Heller,Jeff Herriott,-,[Recension](https://www.google.com/search?q=Bone+Tomahawk+review),America,,,
Brain Damage,1988,Frank Henenlotter,USA,Skräck/Komedi,84 min,"Rick Hearst, Gordon MacDonald",Edgar Ievins,Gabe Bartalos,Gabe Bartalos,[Recension](https://www.google.com/search?q=Brain+Damage+1988+review),America,,,
Braindead,1992,Peter Jackson,Nya Zeeland,Skräck/Komedi,97 min,"Timothy Balme, Diana Peñalver",Jim Booth,Peter Dasent,Weta Workshop,[Recension](https://www.google.com/search?q=Braindead+1992+review),America,,,
Bring Her Back,2025,Danny Philippou,USA,Skräck,-,Sally Field,-,-,-,[Recension](https://www.google.com/search?q=Bring+Her+Back+2025+movie),America,,,
Burnt Offerings,1976,Dan Curtis,USA,Skräck/Mysterium,116 min,"Karen Black, Oliver Reed",Dan Curtis,Robert Cobert,-,[Recension](https://www.google.com/search?q=Burnt+Offerings+1976+review),America,,,
Candyman,1992,Bernard Rose,USA,Skräck,99 min,"Virginia Madsen, Tony Todd",Steve Golin,Philip Glass,-,[Recension](https://www.google.com/search?q=Candyman+1992+review),America,,,
Carrie,1976,Brian De Palma,USA,Skräck,98 min,"Sissy Spacek, Piper Laurie",Paul Monash,Pino Donaggio,Gregory Jein,[Recension](https://www.google.com/search?q=Carrie+1976+review),America,,,
Cast a Deadly Spell,1991,Martin Campbell,USA,Fantasy/Krim,92 min,"Fred Ward, Julianne Moore",Gale Anne Hurd,Curt Sobel,-,[Recension](https://www.google.com/search?q=Cast+a+Deadly+Spell+1991+review),America,,,
Cauldron of Blood,1970,Santos Alcocer,Spanien,Skräck,101 min,"Boris Karloff, Viveca Lindfors",Robert D. Weinbach,-,-,[Recension](https://www.google.com/search?q=Cauldron+of+Blood+1970+review),America,,,
Child's Play,1988,Tom Holland,USA,Skräck,87 min,"Catherine Hicks, Chris Sarandon",David Kirschner,Joe Renzetti,Kevin Yagher,[Recension](https://www.google.com/search?q=Childs+Play+1988+review),America,,,
Class of 1984,1982,Mark L. Lester,Kanada,Action/Thriller,95 min,"Perry King, Roddy McDowall",Arthur J. Annecharico,Lalo Schifrin,-,[Recension](https://www.google.com/search?q=Class+of+1984+review),America,,,
Class of Nuke 'Em High,1986,Richard W. Haines,USA,Skräck/Komedi,82 min,Janelle Brady,Lloyd Kaufman,-,-,[Recension](https://www.google.com/search?q=Class+of+Nuke+Em+High+review),America,,,
Constantine,2005,Francis Lawrence,USA,Action/Fantasy,121 min,"Keanu Reeves, Rachel Weisz",Lauren Shuler Donner,Brian Tyler,Tippett Studio,[Recension](https://www.google.com/search?q=Constantine+2005+review),America,,,
Creepshow,1982,George A. Romero,USA,Skräck/Antologi,120 min,"Hal Holbrook, Adrienne Barbeau",Richard P. Rubinstein,John Harrison,Tom Savini,[Recension](https://www.google.com/search?q=Creepshow+1982+review),America,,,
Critters,1986,Stephen Herek,USA,Sci-Fi/Skräck,82 min,"Dee Wallace, M. Emmet Walsh",Rupert Harvey,David Newman,Chiodo Bros,[Recension](https://www.google.com/search?q=Critters+1986+review),America,,,
Critters 2,1988,Mick Garris,USA,Sci-Fi/Skräck,86 min,Terrence Mann,Barry Opper,Nicholas Pike,Chiodo Bros,[Recension](https://www.google.com/search?q=Critters+2+review),America,,,
Critters 3,1991,Kristine Peterson,USA,Sci-Fi/Skräck,84 min,Leonardo DiCaprio,Rupert Harvey,David C. Williams,Chiodo Bros,[Recension](https://www.google.com/search?q=Critters+3+review),America,,,
Critters 4,1992,Rupert Harvey,USA,Sci-Fi/Skräck,94 min,Terrence Mann,Rupert Harvey,David C. Williams,Chiodo Bros,[Recension](https://www.google.com/search?q=Critters+4+review),America,,,
Dark City,1998,Alex Proyas,USA,Sci-Fi/Mysterium,100 min,"Rufus Sewell, Jennifer Connelly",Andrew Mason,Trevor Jones,DNEG,[Recension](https://www.google.com/search?q=Dark+City+1998+review),America,,,
Dark Angel,1990,Craig R. Baxley,USA,Action/Sci-Fi,91 min,Dolph Lundgren,Jeff Young,Jan Hammer,-,[Recension](https://www.google.com/search?q=Dark+Angel+1990+review),America,,,
Darkman,1990,Sam Raimi,USA,Action/Sci-Fi,96 min,"Liam Neeson, Frances McDormand",Robert Tapert,Danny Elfman,Tony Gardner,[Recension](https://www.google.com/search?q=Darkman+1990+review),America,,,
Dawn of the Dead,1978,George A. Romero,USA,Skräck,127 min,"David Emge, Ken Foree",Richard P. Rubinstein,Goblin,Tom Savini,[Recension](https://www.google.com/search?q=Dawn+of+the+Dead+1978+review),America,,,
Day of the Dead,1985,George A. Romero,USA,Skräck,101 min,"Lori Cardille, Terry Alexander",Richard P. Rubinstein,John Harrison,Tom Savini,[Recension](https://www.google.com/search?q=Day+of+the+Dead+1985+review),America,,,
Dead and Buried,1981,Gary Sherman,USA,Skräck/Mysterium,94 min,"James Farentino, Melody Anderson",Ronald Shusett,-,Stan Winston,[Recension](https://www.google.com/search?q=Dead+and+Buried+1981+review),America,,,
Death Weekend,1976,William Fruet,Kanada,Thriller/Skräck,89 min,"Brenda Vaccaro, Don Stroud",Ivan Reitman,-,-,[Recension](https://www.google.com/search?q=Death+Weekend+1976+review),America,,,
Deranged,1974,Jeff Gillen,USA,Skräck/Drama,82 min,Roberts Blossom,Alan Ormsby,Carl Zittrer,Tom Savini,[Recension](https://www.google.com/search?q=Deranged+1974+review),America,,,
Diary of the Dead,2007,George A. Romero,USA,Skräck,95 min,Michelle Morgan,Peter Grunwald,-,-,[Recension](https://www.google.com/search?q=Diary+of+the+Dead+2007+review),America,,,
Dracula,1974,Dan Curtis,Storbritannien,Skräck,98 min,Jack Palance,Dan Curtis,Robert Cobert,-,[Recension](https://www.google.com/search?q=Dracula+1974+movie+review),America,,,
Dracula,1979,John Badham,USA,Skräck,109 min,"Frank Langella, Laurence Olivier",Walter Mirisch,John Williams,-,[Recension](https://www.google.com/search?q=Dracula+1979+review),America,,,
Eaten Alive,1976,Tobe Hooper,USA,Skräck,91 min,"Neville Brand, Mel Ferrer",Mardi Rustam,Wayne Bell,-,[Recension](https://www.google.com/search?q=Eaten+Alive+1976+review),America,,,
Eating Raoul,1982,Paul Bartel,USA,Komedi/Kult,83 min,"Paul Bartel, Mary Woronov",Anne Kimmel,-,-,[Recension](https://www.google.com/search?q=Eating+Raoul+1982+review),America,,,
Eden Lake,2008,James Watkins,Storbritannien,Skräck/Thriller,91 min,"Kelly Reilly, Michael Fassbender",Christian Colson,David Julyan,-,[Recension](https://www.google.com/search?q=Eden+Lake+2008+review),America,,,
Effects,1978,Dusty Nelson,USA,Skräck,84 min,Joseph Pilato,John Harrison,-,Tom Savini,[Recension](https://www.google.com/search?q=Effects+1978+movie+review),America,,,
Elvira: Mistress of the Dark,1988,James Signorelli,USA,Komedi/Skräck,96 min,Cassandra Peterson,Eric Gardner,James B. Campbell,-,[Recension](https://www.google.com/search?q=Elvira+Mistress+of+the+Dark+review),America,,,
Embryo,1976,Ralph Nelson,USA,Sci-Fi/Skräck,104 min,"Rock Hudson, Barbara Carrera",Anita Doohan,Gil Mellé,-,[Recension](https://www.google.com/search?q=Embryo+1976+movie+review),America,,,
Eraserhead,1977,David Lynch,USA,Skräck/Surrealism,89 min,Jack Nance,David Lynch,David Lynch,-,[Recension](https://www.google.com/search?q=Eraserhead+1977+review),America,,,
Evilspeak,1981,Eric Weston,USA,Skräck,92 min,Clint Howard,Sylvio Tabet,Roger Kellaway,-,[Recension](https://www.google.com/search?q=Evilspeak+1981+review),America,,,
Eyes of a Stranger,1981,Ken Wiederhorn,USA,Skräck/Thriller,85 min,Jennifer Jason Leigh,Ken Wiederhorn,Richard Einhorn,Tom Savini,[Recension](https://www.google.com/search?q=Eyes+of+a+Stranger+1981+review),America,,,
Fade to Black,1980,Vernon Zimmerman,USA,Skräck/Thriller,102 min,Dennis Christopher,Irwin Yablans,Craig Safan,-,[Recension](https://www.google.com/search?q=Fade+to+Black+1980+review),America,,,
Fragile,2005,Jaume Balagueró,Spanien,Skräck/Thriller,101 min,Calista Flockhart,Julio Fernández,Roque Baños,-,[Recension](https://www.google.com/search?q=Fragile+2005+movie+review),America,,,
Frankenhooker,1990,Frank Henenlotter,USA,Skräck/Komedi,85 min,James Lorinz,Edgar Ievins,-,Gabe Bartalos,[Recension](https://www.google.com/search?q=Frankenhooker+1990+review),America,,,
Frankenstein,2025,Guillermo del Toro,USA,Skräck/Drama,-,"Oscar Isaac, Jacob Elordi",Guillermo del Toro,-,-,[Recension](https://www.google.com/search?q=Frankenstein+2025+movie),America,,,
Freaked,1993,Alex Winter,USA,Komedi/Sci-Fi,80 min,"Alex Winter, Randy Quaid",Harry J. Ufland,Kevin Kiner,Screaming Mad George,[Recension](https://www.google.com/search?q=Freaked+1993+review),America,,,
Freddy vs. Jason,2003,Ronny Yu,USA,Action/Skräck,105 min,"Robert Englund, Ken Kirzinger",Sean S. Cunningham,Graeme Revell,-,[Recension](https://www.google.com/search?q=Freddy+vs+Jason+review),America,,,
Friday the 13th,1980,Sean S. Cunningham,USA,Skräck/Slasher,95 min,"Betsy Palmer, Adrienne King",Sean S. Cunningham,Harry Manfredini,Tom Savini,[Recension](https://www.google.com/search?q=Friday+the+13th+1980+review),America,,,
Jason X,2001,James Isaac,USA,Sci-Fi/Skräck,92 min,Kane Hodder,Sean S. Cunningham,Harry Manfredini,-,[Recension](https://www.google.com/search?q=Jason+X+2001+review),America,,,
Friday the 13th,2009,Marcus Nispel,USA,Skräck/Slasher,97 min,"Jared Padalecki, Danielle Panabaker",Michael Bay,Steve Jablonsky,-,[Recension](https://www.google.com/search?q=Friday+the+13th+2009+review),America,,,
Friday the 13th Part 2,1981,Steve Miner,USA,Skräck/Slasher,87 min,"Amy Steel, John Furey",Dennis Murphy,Harry Manfredini,-,[Recension](https://www.google.com/search?q=Friday+the+13th+Part+2+review),America,,,
Friday the 13th Part 3,1982,Steve Miner,USA,Skräck/Slasher,95 min,Dana Kimmell,Frank Mancuso Jr.,Harry Manfredini,Stan Winston,[Recension](https://www.google.com/search?q=Friday+the+13th+Part+3+review),America,,,
Friday the 13th Part 4: The Final Chapter,1984,Joseph Zito,USA,Skräck/Slasher,91 min,"Corey Feldman, Kimberly Beck",Frank Mancuso Jr.,Harry Manfredini,Tom Savini,[Recension](https://www.google.com/search?q=Friday+the+13th+Part+4+review),America,,,
Friday the 13th Part 5: A New Beginning,1985,Danny Steinmann,USA,Skräck/Slasher,92 min,Melanie Kinnaman,Timothy Silver,Harry Manfredini,-,[Recension](https://www.google.com/search?q=Friday+the+13th+Part+5+review),America,,,
Friday the 13th Part 6: Jason Lives,1986,Tom McLoughlin,USA,Skräck/Slasher,86 min,"Thom Mathews, Jennifer Cooke",Don Behrns,Harry Manfredini,-,[Recension](https://www.google.com/search?q=Friday+the+13th+Part+6+review),America,,,
Friday the 13th Part 7: The New Blood,1988,John Carl Buechler,USA,Skräck/Slasher,88 min,"Kane Hodder, Lar Park Lincoln",Iain Paterson,Harry Manfredini,John Carl Buechler,[Recension](https://www.google.com/search?q=Friday+the+13th+Part+7+review),America,,,
Friday the 13th Part 8: Jason Takes Manhattan,1989,Rob Hedden,USA,Skräck/Slasher,100 min,"Kane Hodder, Jensen Daggett",Randolph Cheveldave,Fred Mollin,-,[Recension](https://www.google.com/search?q=Friday+the+13th+Part+8+review),America,,,
Jason Goes to Hell: The Final Friday,1993,Adam Marcus,USA,Skräck,91 min,Kane Hodder,Sean S. Cunningham,Harry Manfredini,KNB EFX,[Recension](https://www.google.com/search?q=Jason+Goes+to+Hell+review),America,,,
From Dusk Till Dawn,1996,Robert Rodriguez,USA,Action/Skräck,108 min,"George Clooney, Quentin Tarantino",Quentin Tarantino,Graeme Revell,KNB EFX,[Recension](https://www.google.com/search?q=From+Dusk+Till+Dawn+1996+review),America,,,
Full Circle (The Haunting of Julia),1977,Richard Loncraine,Kanada/Storbritannien,Skräck/Mysterium,98 min,"Mia Farrow, Keir Dullea",Peter Fetterman,Colin Towns,-,[Recension](https://www.google.com/search?q=Full+Circle+1977+review),America,,,
Ghost Story,1981,John Irvin,USA,Skräck/Mysterium,110 min,"Fred Astaire, Melvyn Douglas",Burt Weissbourd,Philippe Sarde,Dick Smith,[Recension](https://www.google.com/search?q=Ghost+Story+1981+review),America,,,
Gremlins,1984,Joe Dante,USA,Komedi/Skräck,106 min,"Zach Galligan, Phoebe Cates",Michael Finnell,Jerry Goldsmith,Chris Walas,[Recension](https://www.google.com/search?q=Gremlins+1984+review),America,,,
Gremlins 2: The New Batch,1990,Joe Dante,USA,Komedi/Skräck,106 min,"Zach Galligan, Phoebe Cates",Michael Finnell,Jerry Goldsmith,Rick Baker,[Recension](https://www.google.com/search?q=Gremlins+2+The+New+Batch+review),America,,,
Grizzly,1976,William Girdler,USA,Skräck/Thriller,91 min,"Christopher George, Andrew Prine",David Sheldon,Robert O. Ragland,-,[Recension](https://www.google.com/search?q=Grizzly+1976+review),America,,,
Happy Birthday to Me,1981,J. Lee Thompson,Kanada,Skräck/Slasher,110 min,"Melissa Sue Anderson, Glenn Ford",John Dunning,Maurice Jarre,-,[Recension](https://www.google.com/search?q=Happy+Birthday+to+Me+1981+review),America,,,
Hatchet,2006,Adam Green,USA,Skräck/Slasher,93 min,"Joel Moore, Tamara Feldman",Andrew Kopelson,Andy Garfield,John Carl Buechler,[Recension](https://www.google.com/search?q=Hatchet+2006+review),America,,,
Hell Night,1981,Tom DeSimone,USA,Skräck/Slasher,101 min,"Linda Blair, Vincent Van Patten",Irwin Yablans,Dan Wyman,-,[Recension](https://www.google.com/search?q=Hell+Night+1981+review),America,,,
Hellboy II: The Golden Army,2008,Guillermo del Toro,USA,Action/Fantasy,120 min,"Ron Perlman, Selma Blair",Lawrence Gordon,Danny Elfman,Spectral Motion,[Recension](https://www.google.com/search?q=Hellboy+II+The+Golden+Army+review),America,,,
Hellboy,2004,Guillermo del Toro,USA,Action/Fantasy,122 min,"Ron Perlman, John Hurt",Lawrence Gordon,Marco Beltrami,Tippett Studio,[Recension](https://www.google.com/search?q=Hellboy+2004+review),America,,,
Hellraiser,1987,Clive Barker,Storbritannien,Skräck,94 min,"Andrew Robinson, Clare Higgins",Christopher Figg,Christopher Young,Bob Keen,[Recension](https://www.google.com/search?q=Hellraiser+1987+review),America,,,
Hellraiser II: Hellbound,1988,Tony Randel,Storbritannien,Skräck,99 min,"Clare Higgins, Ashley Laurence",Christopher Figg,Christopher Young,Bob Keen,[Recension](https://www.google.com/search?q=Hellraiser+II+Hellbound+review),America,,,
Hellraiser III: Hell on Earth,1992,Anthony Hickox,USA,Skräck,93 min,"Doug Bradley, Terry Farrell",Lawrence Mortorff,Randy Miller,Bob Keen,[Recension](https://www.google.com/search?q=Hellraiser+III+Hell+on+Earth+review),America,,,
Hellraiser,2022,David Bruckner,USA,Skräck,121 min,"Odessa A'zion, Jamie Clayton",David S. Goyer,Ben Lovett,-,[Recension](https://www.google.com/search?q=Hellraiser+2022+review),America,,,
House,1985,Steve Miner,USA,Skräck/Komedi,93 min,"William Katt, George Wendt",Sean S. Cunningham,Harry Manfredini,-,[Recension](https://www.google.com/search?q=House+1985+review),America,,,
House of Wax,1953,André De Toth,USA,Skräck,88 min,"Vincent Price, Phyllis Kirk",Bryan Foy,David Buttolph,-,[Recension](https://www.google.com/search?q=House+of+Wax+1953+review),America,,,
Humanoids from the Deep,1980,Barbara Peeters,USA,Skräck/Sci-Fi,80 min,"Doug McClure, Vic Morrow",Roger Corman,James Horner,Rob Bottin,[Recension](https://www.google.com/search?q=Humanoids+from+the+Deep+1980+review),America,,,
In a Violent Nature,2024,Chris Nash,Kanada,Skräck/Slasher,94 min,Ry Barrett,Peter Kuplowsky,-,-,[Recension](https://www.google.com/search?q=In+a+Violent+Nature+2024+review),America,,,
Incubus,1981,John Hough,Kanada,Skräck,92 min,"John Cassavetes, Kerrie Keane",Marc Boyman,-,-,[Recension](https://www.google.com/search?q=Incubus+1981+review),America,,,
Inseminoid,1981,Norman J. Warren,Storbritannien,Skräck/Sci-Fi,93 min,"Judy Geeson, Robin Clarke",Richard Gordon,John Scott,-,[Recension](https://www.google.com/search?q=Inseminoid+1981+review),America,,,
Intruder,1989,Scott Spiegel,USA,Skräck/Slasher,88 min,"Elizabeth Cox, Renée Estevez",Lawrence Bender,-,KNB EFX,[Recension](https://www.google.com/search?q=Intruder+1989+review),America,,,
Island of Terror,1966,Terence Fisher,Storbritannien,Skräck/Sci-Fi,89 min,"Peter Cushing, Edward Judd",Tom Blakeley,Malcolm Lockyer,-,[Recension](https://www.google.com/search?q=Island+of+Terror+1966+review),America,,,
It's Alive,1974,Larry Cohen,USA,Skräck,91 min,"John P. Ryan, Sharon Farrell",Larry Cohen,Bernard Herrmann,Rick Baker,[Recension](https://www.google.com/search?q=Its+Alive+1974+review),America,,,
Jacob's Ladder,1990,Adrian Lyne,USA,Skräck/Drama,113 min,"Tim Robbins, Elizabeth Peña",Alan Marshall,Maurice Jarre,-,[Recension](https://www.google.com/search?q=Jacobs+Ladder+1990+review),America,,,
Jaws,1975,Steven Spielberg,USA,Thriller/Äventyr,124 min,"Roy Scheider, Robert Shaw",Richard D. Zanuck,John Williams,-,[Recension](https://www.google.com/search?q=Jaws+1975+review),America,,,
Killer Klowns from Outer Space,1988,Stephen Chiodo,USA,Sci-Fi/Skräck,88 min,"Grant Cramer, Suzanne Snyder",Chiodo Bros,John Massari,Chiodo Bros,[Recension](https://www.google.com/search?q=Killer+Klowns+from+Outer+Space+review),America,,,
Longlegs,2024,Osgood Perkins,USA,Skräck/Thriller,101 min,"Maika Monroe, Nicolas Cage",Brian Kavanaugh-Jones,Zilgi,-,[Recension](https://www.google.com/search?q=Longlegs+2024+review),America,,,
Mad God,2021,Phil Tippett,USA,Skräck/Animation,83 min,Alex Andersen,Phil Tippett,Dan Wool,Phil Tippett,[Recension](https://www.google.com/search?q=Mad+God+2021+review),America,,,
Maniac,1980,William Lustig,USA,Skräck/Slasher,87 min,"Joe Spinell, Caroline Munro",William Lustig,Jay Chattaway,Tom Savini,[Recension](https://www.google.com/search?q=Maniac+1980+review),America,,,
Maniac,2012,Franck Khalfoun,USA/Frankrike,Skräck/Slasher,89 min,"Elijah Wood, Nora Arnezeder",Thomas Langmann,Rob,KNB EFX,[Recension](https://www.google.com/search?q=Maniac+2012+review),America,,,
Mimic,1997,Guillermo del Toro,USA,Sci-Fi/Skräck,105 min,"Mira Sorvino, Jeremy Northam",B.J. Rack,Marco Beltrami,Rob Bottin,[Recension](https://www.google.com/search?q=Mimic+1997+review),America,,,
The Monster Squad,1987,Fred Dekker,USA,Komedi/Skräck,82 min,"Andre Gower, Robby Kiger",Jonathan A. Zimbert,Bruce Broughton,Stan Winston,[Recension](https://www.google.com/search?q=Monster+Squad+1987+review),America,,,
Motel Hell,1980,Kevin Connor,USA,Komedi/Skräck,102 min,"Rory Calhoun, Nancy Parsons",Steven-Charles Jaffe,Terrence James,-,[Recension](https://www.google.com/search?q=Motel+Hell+1980+review),America,,,
Mulholland Dr.,2001,David Lynch,USA,Mysterium/Thriller,147 min,"Naomi Watts, Laura Elena Harring",Neal Edelstein,Angelo Badalamenti,-,[Recension](https://www.google.com/search?q=Mulholland+Drive+review),America,,,
Night of the Creeps,1986,Fred Dekker,USA,Sci-Fi/Skräck,88 min,"Jason Lively, Tom Atkins",Charles Gordon,Barry De Vorzon,David Miller,[Recension](https://www.google.com/search?q=Night+of+the+Creeps+review),America,,,
Night of the Demon,1957,Jacques Tourneur,Storbritannien,Skräck,95 min,"Dana Andrews, Peggy Cummins",Frank Bevis,Clifton Parker,-,[Recension](https://www.google.com/search?q=Night+of+the+Demon+1957+review),America,,,
Night of the Living Dead,1968,George A. Romero,USA,Skräck,96 min,"Duane Jones, Judith O'Dea",Russell Streiner,-,-,[Recension](https://www.google.com/search?q=Night+of+the+Living+Dead+1968+review),America,,,
Nightbreed,1990,Clive Barker,USA,Skräck/Fantasy,102 min,"Craig Sheffer, Anne Bobby",Gabriella Martinelli,Danny Elfman,Image Animation,[Recension](https://www.google.com/search?q=Nightbreed+1990+review),America,,,
Nightmare City,1980,Umberto Lenzi,Italien/Spanien,Skräck/Action,92 min,"Hugo Stiglitz, Laura Trotter",Diego Alchimede,Stelvio Cipriani,-,[Recension](https://www.google.com/search?q=Nightmare+City+1980+review),America,,,
Nosferatu,2024,Robert Eggers,USA,Skräck,132 min,"Bill Skarsgård, Lily-Rose Depp",Chris Columbus,Robin Carolan,-,[Recension](https://www.google.com/search?q=Nosferatu+2024+Robert+Eggers+review),America,,,
Oddity,2024,Damian Mc Carthy,Irland,Skräck/Thriller,98 min,"Carolyn Bracken, Gwilym Lee",Katie Holly,-,-,[Recension](https://www.google.com/search?q=Oddity+2024+review),America,,,
Of Unknown Origin,1983,George P. Cosmatos,USA/Kanada,Skräck/Thriller,89 min,"Peter Weller, Shannon Tweed",Claude Héroux,Howard Shore,-,[Recension](https://www.google.com/search?q=Of+Unknown+Origin+1983+review),America,,,
Peeping Tom,1960,Michael Powell,Storbritannien,Skräck/Thriller,101 min,"Karlheinz Böhm, Moira Shearer",Michael Powell,Brian Easdale,-,[Recension](https://www.google.com/search?q=Peeping+Tom+1960+review),America,,,
Poltergeist,1982,Tobe Hooper,USA,Skräck,114 min,"JoBeth Williams, Craig T. Nelson",Steven Spielberg,Jerry Goldsmith,ILM,[Recension](https://www.google.com/search?q=Poltergeist+1982+review),America,,,
Possession,1981,Andrzej Żuławski,Frankrike/Västtyskland,Skräck/Drama,124 min,"Isabelle Adjani, Sam Neill",Marie-Laure Reyre,Andrzej Korzyński,Carlo Rambaldi,[Recension](https://www.google.com/search?q=Possession+1981+review),America,,,
Prince of Darkness,1987,John Carpenter,USA,Skräck,102 min,"Donald Pleasence, Jameson Parker",Larry Franco,John Carpenter,-,[Recension](https://www.google.com/search?q=Prince+of+Darkness+review),America,,,
Psycho,1960,Alfred Hitchcock,USA,Skräck/Thriller,109 min,"Anthony Perkins, Janet Leigh",Alfred Hichcock,Bernard Herrmann,-,[Recension](https://www.google.com/search?q=Psycho+1960+review),America,,,
Pumpkinhead,1988,Stan Winston,USA,Skräck,86 min,"Lance Henriksen, Jeff East",Bill Gould,Mischa Bakaleinikoff,Stan Winston,[Recension](https://www.google.com/search?q=Pumpkinhead+1988+review),America,,,
Quatermass and the Pit,1967,Roy Ward Baker,Storbritannien,Sci-Fi/Skräck,97 min,"James Donald, Andrew Keir",Anthony Nelson Keys,James Bernard,-,[Recension](https://www.google.com/search?q=Quatermass+and+the+Pit+review),America,,,
Re-Animator,1985,Stuart Gordon,USA,Skräck/Komedi,86 min,"Jeffrey Combs, Bruce Abbott",Brian Yuzna,Richard Band,-,[Recension](https://www.google.com/search?q=Re-Animator+1985+review),America,,,
Return of the Living Dead,1985,Dan O'Bannon,USA,Skräck/Komedi,91 min,"Clu Gulager, James Karen",Tom Fox,Francis Haines,William Munns,[Recension](https://www.google.com/search?q=Return+of+the+Living+Dead+1985+review),America,,,
Road Games,1981,Richard Franklin,Australien/USA,Thriller,101 min,"Stacy Keach, Jamie Lee Curtis",Richard Franklin,Brian May,-,[Recension](https://www.google.com/search?q=Road+Games+1981+review),America,,,
